id,nicho_especifico,usuario_directo,comprador_que_paga,problema_exacto,proceso_actual,frecuencia,consecuencia,evidencia_local,nivel_evidencia,alternativas_existentes,brecha,producto_propuesto,formato_tecnologico,MVP,modelo_de_ingresos,hipotesis_de_precio_COP,canal_de_adquisicion,riesgos,evidencia_faltante,puntaje,decision
O1,Comercializadoras exportadoras de platano y banano que integran pequenos productores independientes (Chigorodo Carepa Necocli Turbo),Recibidor o inspector de calidad en el sitio de acopio,Gerente de Operaciones o Director de Fruta de la comercializadora,Registrar en el acopio la fruta entregada por cada productor con su calidad y rechazo y liquidar despues el pago semanal por productor,NO VERIFICADO. Hipotesis: planilla fisica en el acopio y transcripcion posterior a Excel en oficina,Diaria en cosecha con liquidacion semanal,Disputas de pago con el productor reproceso administrativo y hueco de trazabilidad ante el comprador extranjero,"Uniban exporta ~4 M cajas de platano al ano de 2.440 pequenos agricultores independientes (declaracion publica del presidente de Uniban sept-2025); ~8.000 ha y ~2.000 productores de platano en Uraba",A el flujo / C el metodo,"Agrosoft SCM1 (liquidacion de fruta), desarrollo propio, Excel y papel","Captura offline en el punto de acopio, comprobante inmediato al productor y cumplimiento colombiano; segmento de microproductor no atendido por el ERP de exportadora",App de captura offline mas panel web de consolidacion y liquidacion que exporta al Excel que el cliente ya usa,PWA offline-first sobre .NET 8 y PostgreSQL con panel web,"Captura offline, sincronizacion diferida, comprobante al productor, consolidado por acopio y productor, motor de liquidacion, exportacion a Excel, bitacora inmutable",Suscripcion mensual por sitio de acopio mas implementacion unica,690.000/mes por acopio y 2.900.000/mes por comercializadora,"Camara de Comercio de Uraba, Augura, Fenalco Antioquia seccional Uraba y visita directa a acopios","Que ya este resuelto; mercado local pequeno; concentracion en Uniban; ciclo de decision largo","Como se registra hoy la recepcion; cuanto cuesta el reproceso; quien aprueba la compra; tolerancia al precio",76,VALIDAR - hipotesis lider
O2,Grupos empresariales bananeros de Uraba con convencion colectiva Sintrainagro,Supervisor de campo y jefe de nomina,Gerente administrativo del grupo bananero,Liquidar semanalmente la nomina de campo aplicando tarifas por labor cuadrilla y lote segun la convencion propia de cada finca,Software especializado ERP colombiano o desarrollo interno,Semanal,Errores generan conflicto laboral retroactivos y riesgo de sancion,"85 grupos empresariales 275 fincas 22.000 trabajadores 10 labores comunes mas 28 negociables (Sintrainagro MinTrabajo Colsiba)",A,"Agrosoft XASS Nomina, SM Solucion, ERP colombianos, desarrollos internos","La nomina de Agrosoft calcula IESS de Ecuador, no PILA ni nomina electronica DIAN","Modulo de captura de labores en campo que ALIMENTA la nomina existente, sin reemplazarla",App movil offline mas exportacion al formato de nomina del cliente,Captura de parte diario por cuadrilla lote y labor con exportacion al layout de nomina vigente,Suscripcion mensual por finca,No estimada - requiere validacion previa,Augura y contacto directo con grupos bananeros,"Sustituir un sistema critico; MVP no cabe en 8 semanas si se intenta la nomina completa; ciclo de venta largo",Si el dolor esta en la captura o en el calculo; que sistema usa hoy cada grupo,71,VALIDAR - solo como modulo complementario
O3,Fincas y empacadoras bananeras certificadas de Uraba,Auxiliar de calidad de la finca,Jefe de Calidad o HSEQ del grupo bananero,Generar y conservar los registros diarios que exigen GlobalGAP GRASP Rainforest Alliance y Fairtrade y prepararlos para la auditoria anual,"Papel, Excel, consultores de certificacion y la plataforma MyRA del certificador",Registro diario y auditoria anual,Perder o suspender la certificacion equivale a perder acceso a supermercados europeos,"Los minoristas exigen con frecuencia doble certificacion RA mas GG en fincas y plantas; la produccion colombiana cuenta con GlobalGAP GRASP RA y Fairtrade",B,"MyRA (gratuita para el titular), consultores de certificacion, Excel","MyRA cubre el tramite ante el certificador, no la generacion diaria de evidencia en finca",Expediente digital de auditoria con checklists por norma y evidencia fotografica fechada,Web mas app movil,Checklist configurable por norma con evidencia fotografica y exportacion del paquete de auditoria,Suscripcion anual por finca certificada,No estimada - requiere validacion previa,Augura y organismos certificadores,Que el certificador amplie MyRA y absorba el caso de uso,Cuantas horas cuesta hoy preparar una auditoria y quien las paga,70,VALIDAR - alternativa si cae la O1
O4,Fincas bananeras y plataneras de Uraba bajo el estatus de area libre de Foc R4T,Portero y jefe de sanidad vegetal,Augura o el ICA (no la finca individual),Registrar el ingreso de personas y vehiculos y los puntos de desinfeccion exigidos para mantener el estatus de area libre,Planilla fisica en porteria,Diaria,Perder el estatus de area libre afectaria a toda la region no solo a una finca,"El ICA declaro a Uraba area libre por Resolucion 095026 de 2021 con medidas de mantenimiento y reforzo la vigilancia en 2026; caso confirmado en Ecuador en dic-2025",A la norma / B la operacion,Planilla fisica; no se identifico software especifico,Registro digital verificable y agregable a nivel regional,App de porteria con codigo QR y tablero regional agregado,App movil mas tablero web,Registro de ingreso con QR sincronizacion offline y tablero por finca,Contrato unico institucional (no SaaS por finca),No estimada,Augura e ICA,No hay autoridad de compra por finca; ciclo institucional muy largo,Quien financiaria esto y con que presupuesto,69,VALIDAR - solo por via institucional
O5,Consultores de SG-SST que administran carteras de 10 a 30 mipymes en Uraba,Consultor SST,El propio consultor (comprador agregador),Mantener el SG-SST de varias empresas con plantillas duplicadas por cliente,Plantillas Excel y Drive por cliente o software SG-SST comercial,Mensual,Incumplimiento de la Resolucion 0312 con riesgo de multa para el cliente,"Precios publicos en Colombia: asesoria desde COP 349.000/mes y mantenimiento entre COP 250.000 y 680.000/mes",B,"CTAIMA, Verifty, GCG Control, Twind y decenas de productos comparables",Muy estrecha: el mercado esta saturado,Consola multiempresa para consultor,Web,Panel multiempresa con matriz legal y plan de trabajo replicable,Suscripcion por consultor con precio escalonado por numero de empresas,350.000/mes por consultor con hasta 15 empresas,Gremios de SST y redes de consultores,Saturacion del mercado y guerra de precios,Cuantos consultores de este perfil operan en Uraba,67,DESCARTAR como apuesta principal
O6,Empresas de Uraba que reciben contratistas en finca empacadora o zona portuaria,Coordinador HSEQ o de compras,Gerente de operaciones,Recolectar mensualmente los soportes de seguridad social examenes y cursos antes de autorizar el ingreso de cada contratista,Correo carpetas compartidas y plataformas comerciales,Mensual,Ingreso de personal sin cobertura genera responsabilidad solidaria y sancion,No documentado para Uraba,C,"CTAIMA (red de +100.000 contratistas), Verifty, GCG Control, Twind",Practicamente nula,Portal de habilitacion documental,Web,Carga y validacion de documentos con vencimientos y semaforo,Suscripcion mensual por empresa contratante,No estimada,Camara de Comercio y gremios,Mercado saturado con efecto de red del competidor lider,Si el problema existe con esa intensidad en Uraba,65,DESCARTAR
O7,Exportadoras y transportadores de carga que despachan hacia Puerto Antioquia,Jefe de patio y conductor,Jefe de Logistica de la exportadora,Coordinar el despacho de fruta desde finca hasta el terminal con turnos guias y pesaje,NO VERIFICADO,Diaria,Demoras y sobrecostos por espera de vehiculos,"Puerto Antioquia opera desde el 5-02-2026 y reemplaza el embarque por barcazas; a tres meses persistia indefinicion sobre el corredor de acceso de 20 km",A el cambio / C el proceso,No identificadas,Desconocida: el puerto probablemente implante su propio sistema comunitario,Coordinacion de turnos y trazabilidad de despacho,Web mas app de conductor,Agenda de turnos y confirmacion de llegada,Suscripcion por empresa transportadora,No estimada,Contacto directo con exportadoras,Dependencia de una sola gran empresa y comprador difuso,Que sistema adoptara Puerto Antioquia y que queda por fuera,63,VIGILAR 12 MESES
O8,Grupos bananeros que transportan trabajadores a fincas dispersas,Coordinador de transporte,Jefe de Talento Humano,Programar rutas y cupos de buses y registrar novedades diarias,NO VERIFICADO,Diaria,Ausentismo y tiempo muerto en campo,"Se infiere de 22.000 trabajadores en 275 fincas dispersas; no documentado directamente",C,No identificadas,Desconocida,Programacion de rutas y registro de abordaje,App movil mas web,Registro de abordaje por ruta y reporte de novedades,Suscripcion mensual por ruta,No estimada,Contacto directo,Sin evidencia local del problema,Todo. Es una hipotesis pura,63,VIGILAR
O9,Empacadoras cable vias y flota agricola de grupos bananeros,Tecnico de mantenimiento,Jefe de Mantenimiento,Programar y registrar el mantenimiento preventivo y correctivo de activos dispersos,NO VERIFICADO,Semanal,Paradas no planeadas en empacadora durante la cosecha,No documentado,C,Categoria GMAO muy competida internacionalmente,Desconocida,GMAO ligero con ordenes de trabajo movil,App movil mas web,Ordenes de trabajo hoja de vida del activo y plan preventivo,Suscripcion mensual por planta,No estimada,Contacto directo,Categoria madura con muchos competidores,Todo,63,VIGILAR
O10,Grupos empresariales de Uraba con tres o mas unidades o fincas,Analista o asistente de gerencia,Gerente General,Consolidar cada mes los Excel de varias unidades para producir el informe gerencial,Excel consolidado a mano,Mensual,Decisiones tardias y cifras que no concuerdan entre unidades,"Solo ~25% de las MYPES de Apartado tiene procedimientos formales de gestion y ~60% decide de forma centralizada (CCU-SENA 2025)",B,"Power BI, Excel avanzado, analistas internos","Ninguna tecnica; la brecha es de capacidad y tiempo, no de herramienta",Servicio de tablero gerencial montado sobre los Excel existentes,Power BI o web ligera,Modelo de datos sobre los Excel del cliente mas tres tableros,Implementacion unica mas mantenimiento mensual,"Implementacion 4.500.000 y mantenimiento 450.000/mes",Camara de Comercio de Uraba y CTDE,Se parece mas a consultoria que a producto y no escala solo,Disposicion a pagar por mantenimiento y no solo por el montaje,63,PRODUCTO PUENTE - genera caja y abre relaciones
