ID,Categoría,Municipio,Módulo,Problema,Frecuencia,Método actual,Comprador,Acceso al propietario,Responsable operativo,Volumen semanal,Función ausente requerida,Puntaje,Resultado,Próxima acción
ADVERTENCIA,"No almacenar nombres, teléfonos ni correos reales en este repositorio público.",,,,,,,,,,,,,
P-001,,,,,,,,,,,,,,
P-002,,,,,,,,,,,,,,
P-003,,,,,,,,,,,,,,
P-004,,,,,,,,,,,,,,
P-005,,,,,,,,,,,,,,
P-006,,,,,,,,,,,,,,
P-007,,,,,,,,,,,,,,
P-008,,,,,,,,,,,,,,
P-009,,,,,,,,,,,,,,
P-010,,,,,,,,,,,,,,
P-011,,,,,,,,,,,,,,
P-012,,,,,,,,,,,,,,
P-013,,,,,,,,,,,,,,
P-014,,,,,,,,,,,,,,
P-015,,,,,,,,,,,,,,
