id,riesgo,categoria,probabilidad_1a5,impacto_1a5,exposicion,senal_temprana,mitigacion,dueno,estado
R01,El proceso ya esta digitalizado y la brecha no existe,Mercado,4,5,=D2*E2,Un entrevistado nombra un producto especifico en la primera conversacion,Es exactamente lo que resuelven los 30 dias de validacion. Criterio de abandono explicito,Socio comercial,Abierto
R02,El mercado local es demasiado pequeno para sostener a tres socios,Mercado,4,4,=D3*E3,El conteo de acopios en campo da menos de 10,Asumido y declarado: se plantea como cabeza de playa con ruta a Magdalena La Guajira y Cesar. Mantener ingresos de servicio mientras tanto,Los 3 socios,Aceptado
R03,Concentracion: perder a Uniban equivale a perder el mercado,Comercial,3,5,=D4*E4,El primer piloto se negocia solo con una empresa,Vender primero a asociaciones y acopios independientes. No firmar exclusividad,Socio comercial,Abierto
R04,Ciclo de decision largo en empresa grande,Comercial,4,3,=D5*E5,La primera reunion se remite a un comite,Piloto gratuito en un solo acopio con decisor operativo y no con comite,Socio comercial,Abierto
R05,Conectividad rural insuficiente incluso para sincronizacion diferida,Tecnico,3,3,=D6*E6,Medicion de senal nula en 2 o mas acopios,Arquitectura offline-first desde el primer dia con sincronizacion por lote al volver a cobertura,Socio tecnico,Abierto
R06,Agrosoft LATAM baja de segmento y ocupa el nicho,Competitivo,2,5,=D7*E7,Anuncio de producto para pequenos productores o apertura de oficina en Colombia,Velocidad y precio local. Foco en un caso de uso marginal para ellos,Socio tecnico,Vigilancia
R07,Estacionalidad de la cosecha reduce las ventanas de piloto,Operativo,3,2,=D8*E8,No hay recepcion en las fechas planeadas,Planear el piloto contra el calendario de cosecha y no contra el del equipo,Socio comercial,Abierto
R08,Presion de costos del sector bananero reduce el apetito por gasto nuevo,Macro,4,3,=D9*E9,"Augura ya advirtio en 2026 sobre aumento de costos, impacto de lluvias y proyeccion de caida",Vender ahorro de horas y reduccion de disputas y no modernizacion,Socio comercial,Abierto
R09,El equipo se queda sin caja antes de cerrar el primer contrato,Financiero,3,5,=D10*E10,Mes 4 sin carta de intencion,Mantener el producto puente (tablero gerencial) como fuente de caja durante la validacion,Los 3 socios,Abierto
R10,Requisitos de proteccion de datos personales al manejar datos de productores,Regulatorio,2,3,=D11*E11,Un cliente pide politica de tratamiento de datos,Politica de tratamiento y autorizacion desde el MVP conforme a la Ley 1581 de 2012,Socio tecnico,Abierto
R11,Dependencia de una sola persona con el conocimiento tecnico completo,Organizacional,4,4,=D12*E12,Un solo socio escribe todo el codigo,Documentar y repartir dominio desde la semana 1 del MVP,Los 3 socios,Abierto
R12,Puerto Antioquia implanta un sistema comunitario que absorbe casos de uso logisticos,Competitivo,3,2,=D13*E13,Anuncio del puerto sobre su plataforma,No apostar por la oportunidad logistica hasta que se aclare,Socio comercial,Vigilancia
R13,La brecha entre disposicion declarada y disposicion real a pagar,Mercado,4,4,=D14*E14,"El diagnostico CCU-SENA ya lo muestra: >85% declara disposicion a participar pero solo ~30% se considera preparado y las barreras son financieras",Nunca aceptar una declaracion de intencion como evidencia. Exigir firma o pago,Socio comercial,Abierto
,,,,,,,,,
LEYENDA,"Exposicion = probabilidad x impacto (formula viva). Rango 1 a 25. Se considera critico todo lo que supere 12.",,,,,,,,
