id_fuente,titulo,institucion_autor,fecha_publicacion,fecha_consulta,url,cobertura_geografica,municipio,sector,tipo_fuente,nivel_evidencia,oportunidad_relacionada,cifra_o_afirmacion_soportada,confiabilidad,limitaciones
F01,Estudio Economico 2024 (Informe socioeconomico de Uraba 2016-2024),Camara de Comercio de Uraba,2025-01,2026-07-24,https://ccuraba.org.co/site/wp-content/uploads/2025/01/ESTUDIO-ECONOMICO-2024.pdf,Region (10 municipios jurisdiccion CCU),"Apartado, Arboletes, Carepa, Chigorodo, Dabeiba, Mutata, Necocli, San Juan de Uraba, San Pedro de Uraba, Turbo",Multisectorial,Camara de comercio,A,Todas,"12.134 empresas en 2024; 96,02% micro; 91,34% con 1-4 empleados; supervivencia 5 anos 29,1%; 2.592 creadas y 3.149 salidas; comercio 6.022; alojamiento y comida 1.887; transporte 333; informacion y comunicaciones 122",Alta,No desagrega por municipio; excluye establecimientos y ESALES; el estudio 2025 no estaba publicado a la fecha de consulta
F02,El 67-9% de las empresas de Uraba pertenecen al cluster comercio,Fenalco Antioquia - centro Investiga,2025-04-22,2026-07-24,https://www.fenalcoantioquia.com/blogs/post/el-67-9-de-la-empresas-de-urab%C3%A1-pertenecen-al-cl%C3%BAster-comercio,Region (10 municipios),Todos,Comercio,Gremio,A,O10,"Cluster comercio 67,9% del total; comercio y reparacion de vehiculos 6.022 empresas (49,6%); alojamiento y comida 1.887 (15,6%); transporte 333 (-2,7%); medianas -4,9% y grandes -5,9%",Alta,Reprocesa datos de la CCU; no aporta fuente primaria independiente
F03,Diagnostico de Sostenibilidad Empresarial en las micro y pequenas empresas MYPES del municipio de Apartado,Camara de Comercio de Uraba y SENA (semillero E-Management),2026-01-29,2026-07-24,https://ccuraba.org.co/site/wp-content/uploads/2026/01/Dg_Sostenibilidad-empresarial_CCU-SENA-2025.pdf,Municipio,Apartado,Multisectorial (comercio, servicios, agroindustria, turismo),Camara de comercio + SENA,A,"O10, O16","Solo ~25% de las MYPES cuenta con procedimientos formales de gestion; ~60% decide de forma centralizada; ~35% capacita formalmente; >85% dispuesto a participar en programas incluida digitalizacion pero solo ~30% se considera preparado; barreras principales: financieras y falta de capacitacion",Media-alta,"Muestra de 113 micro y 76 pequenas; no reporta porcentajes exactos ni intervalos de confianza; enfoque en sostenibilidad, no en tecnologia"
F04,Datos Abiertos y publicaciones (portal institucional),Camara de Comercio de Uraba,2022-10-31 (act.),2026-07-24,https://ccuraba.org.co/nuestra-camara/ley-de-transparencia/datos-abiertos/,Region,Todos,Transversal,Camara de comercio,A,Canal comercial,"Jurisdiccion de 10 municipios; existencia del Centro de Transformacion Digital Empresarial (CTDE); sede Apartado Calle 104 #101-15, PBX (604) 815 5990",Alta,Pagina desactualizada; ultimo estudio enlazado en esa seccion es de 2018
F05,Centro de Transformacion Digital Empresarial de Uraba,Camara de Comercio de Uraba / MinTIC / MinCIT,2020-2021,2026-07-24,https://ctde.ccuraba.org.co/,Region,Apartado,TIC,Programa publico-privado,A,Canal comercial,"Existe un CTDE en Apartado que diagnostica madurez digital y acompana adopcion de CRM, ERP y e-commerce en mipymes; contacto ctde@ccuraba.org.co, (604) 828 0184 ext 131",Media,Contenido del sitio sin actualizar desde 2021; no publica numero de empresas atendidas ni resultados recientes
F06,Banano colombiano rompe record en produccion y exportaciones (cifras Augura 2025),Augura via AgroNET / Ministerio de Agricultura y prensa economica,2026-04,2026-07-24,https://agronet.gov.co/noticias/banano-colombiano-rompe-record-en-produccion-y-exportaciones,Region y nacional,Uraba (32.465 ha),Agroindustria - banano,Gremio + entidad publica,A,"O1, O2, O3, O4, O7","Colombia exporto 2,5 M toneladas (133 M cajas) por USD 1.309 millones en 2025 (+21,6%); Uraba 32.465 ha y 82 M cajas; zona Caribe 20.478 ha y 51 M cajas; productividad 2.516 cajas/ha",Alta,Cifra regional de hectareas de Uraba difiere ligeramente de otras fuentes (35.123 ha); ver F07
F07,Uraba una region llena de frutos / Sector bananero en Uraba,El Colombiano (informes comerciales) y prensa economica,2023-2024,2026-07-24,https://www.elcolombiano.com/informes-comerciales/las-marcas-hablan/uraba-una-region-llena-de-frutos-CG25897995,Region,Uraba,Agroindustria - banano,Medio economico,B,"O1, O2, O3","~320 fincas bananeras de exportacion en Uraba mayoritariamente afiliadas a Augura; Uniban con 151 fincas y 15.743 ha",Media,Contenido patrocinado/informe comercial; cifra de hectareas (35.123) discrepa de la de Augura 2025 (32.465) - se prefiere la de Augura por ser mas reciente y del gremio
F08,Empresarios bananeros y Sintrainagro firmaron nueva Convencion Colectiva de Trabajo,Colsiba / MinTrabajo / Agencia de Informacion Laboral ENS,2019 y 2023,2026-07-24,https://www.colsiba.org/empresarios-bananeros-y-sintrainagro-firmaron-nueva-convencion-colectiva-de-trabajo/,Region,Uraba,Agroindustria - banano / laboral,Sindicato + ministerio,A,O2,"Sintrainagro negocia con 85 grupos empresariales que poseen 275 fincas, cada una con su propia convencion colectiva; ~22.000 trabajadores; se negocian 10 labores comunes a todas las fincas y un procedimiento para otras 28 labores surgidas en la actividad bananera; incremento salarial 14% primer ano del cuatrienio 2023-2027",Alta,"Ultimo acuerdo documentado 2023; la convencion vigente cubre 2023-2027, por lo que la cifra sigue siendo estructuralmente valida"
F09,Desde Uraba se exportan cerca de 4 millones de cajas de platano de pequenos productores al ano,Alerta Paisa / RCN Radio - declaracion de Manuel Antonio Laborde Barriga presidente de Uniban,2025-09-10,2026-07-24,https://paisa.alerta.com.co/quejodromo/uraba-se-exportan-cerca-de-4-millones-de-cajas-de-platano-al-ano-221303,Municipios,"Chigorodo, Necocli, Belen de Bajira, Santa Maria la Antigua del Darien",Agroindustria - platano,Medio nacional (declaracion directa de directivo),A,O1,"Uniban exporta ~4 millones de cajas de platano al ano provenientes de 2.440 pequenos agricultores independientes; con Puerto Antioquia se reemplaza el embarque por barcazas via rio",Alta,"Declaracion de un directivo, no dato auditado; no detalla el proceso administrativo de recepcion ni liquidacion"
F10,Exportacion de pequenos y medianos productores plataneros desde el Uraba antioqueno,Agronegocios (La Republica),2023-2025,2026-07-24,https://www.agronegocios.co/agricultura/la-exportacion-platanera-desde-el-uraba-4217822,Region,Uraba,Agroindustria - platano,Medio economico,B,O1,"~8.000 ha sembradas de platano y ~2.000 productores en Uraba; ~2.500 pequenos y medianos productores con promedio de 3,6 ha; ~60.000 cajas semanales; el exportador acompana formalizacion, insumos y certificaciones",Media-alta,Cifras de distintos anos combinadas en el articulo; el promedio de 3,6 ha es consistente con 8.000 ha / 2.200 productores
