id_problema,sector,proceso_observable,quien_lo_ejecuta,frecuencia,consecuencia_identificable,evidencia_local,id_fuente,nivel_evidencia,como_se_resuelve_hoy,oportunidad_asociada
P01,Agro - platano y banano,Registro de la fruta entregada por cada pequeno productor en el sitio de acopio: productor lote cajas calidad y causal de rechazo,Recibidor o inspector de calidad del acopio,Diaria en cosecha,Diferencias entre lo recibido y lo liquidado; disputas de pago con el productor; hueco de trazabilidad ante el comprador extranjero,"Uniban recibe ~4 M cajas/ano de 2.440 productores en Chigorodo Necocli Belen de Bajira y Sta Maria la Antigua (declaracion del presidente de Uniban sept-2025)",F09,A el flujo / C el metodo,NO VERIFICADO. Hipotesis: planilla fisica y transcripcion posterior a Excel,O1
P02,Agro - platano,Liquidacion semanal del pago a cada pequeno productor aplicando precio por calidad y descontando insumos y anticipos,Auxiliar administrativo de la comercializadora,Semanal,Reproceso administrativo y retraso en el pago al productor,~60.000 cajas semanales de pequenos productores; el exportador acompana formalizacion insumos y certificaciones,F10,B,NO VERIFICADO. Existe software comercial que lo hace (Agrosoft SCM1),O1
P03,Agro - banano,Liquidacion semanal de la nomina de campo aplicando tarifas por labor cuadrilla y lote segun la convencion colectiva de cada finca,Jefe de nomina o administrador de finca,Semanal,"Errores generan conflicto laboral, retroactivos y riesgo de sancion; el sindicato revisa","85 grupos empresariales, 275 fincas cada una con su propia convencion, 22.000 trabajadores, 10 labores comunes mas 28 negociables",F08,A,"Software especializado (Agrosoft XASS Nomina, SM Solucion), ERP colombianos y desarrollos internos",O2
P04,Agro - banano,Generacion y conservacion de los registros de campo y empacadora exigidos por GlobalGAP GRASP Rainforest Alliance y Fairtrade,Auxiliar de calidad y jefe HSEQ,Diaria (registro) y anual (auditoria),Pérdida o suspension de certificacion equivale a perder acceso a supermercados europeos,Los minoristas exigen con frecuencia doble certificacion RA mas GG en fincas y plantas,F23 F25,B,"Papel, Excel, consultores de certificacion y la plataforma MyRA del propio certificador",O3
P05,Agro - banano,Registro de ingreso de personas y vehiculos a la finca y de los puntos de desinfeccion exigidos para mantener el estatus de area libre de Foc R4T,Portero y jefe de sanidad vegetal,Diaria,"Perder el estatus de area libre afectaria a toda la region, no solo a una finca",El ICA declaro a Uraba area libre por Resolucion 095026 de 2021 con medidas de mantenimiento y reforzo la vigilancia en 2026,F20 F21,A la norma / B la operacion,Planilla fisica en porteria,O4
P06,Transversal,Recoleccion mensual de soportes de seguridad social examenes medicos y cursos de cada contratista antes de autorizar su ingreso,Coordinador HSEQ o de compras,Mensual,Ingreso de personal sin cobertura genera responsabilidad solidaria y sancion,No documentado para Uraba. Problema documentado a nivel nacional,F15 F16 F17,C para Uraba,"Correo electronico, carpetas compartidas y plataformas comerciales (CTAIMA Verifty GCG Twind)",O6
P07,Transversal - mipymes,Mantenimiento del SG-SST de varias empresas pequenas por parte de un mismo consultor externo,Consultor SST independiente,Mensual,Incumplimiento de la Resolucion 0312 con riesgo de multa para el cliente,"Precios publicados en Colombia: asesoria desde COP 349.000/mes y mantenimiento entre COP 250.000 y 680.000/mes",F17,B,Plantillas Excel y Drive por cliente; software SG-SST comercial,O5
P08,Logistica,Coordinacion del despacho de fruta desde finca hasta el terminal portuario con turnos guias y pesaje,Jefe de logistica de la exportadora,Diaria,Demoras y sobrecostos por espera de vehiculos,"Puerto Antioquia opera desde el 5-02-2026 y reemplaza el embarque por barcazas; a tres meses persistia indefinicion sobre el corredor de acceso de 20 km",F11 F12,A el cambio / C el proceso,NO VERIFICADO,O7
P09,Agro - banano,Programacion diaria de rutas y cupos de buses para llevar trabajadores a las fincas y registro de novedades,Jefe de talento humano o de transporte,Diaria,Ausentismo y tiempo muerto en campo,No documentado. Se infiere de la existencia de 22.000 trabajadores en 275 fincas dispersas,F08,C,NO VERIFICADO,O8
P10,Turismo,Coordinacion de cupos entre operador turistico hotel y transporte maritimo Necocli-Capurgana,Operador turistico,Diaria en temporada,Sobreventa o cupos perdidos en picos de demanda,"Necocli concentro el 25,53% de los visitantes de Uraba en el primer trimestre de 2025 y la ocupacion hotelera llego al 100% en Semana Santa 2025",F28 F29,A el contexto / C el problema,"WhatsApp, llamadas y OTAs",O13
