id,supuesto,valor_usado,base_del_supuesto,tipo,impacto_si_es_falso,como_se_verifica,estado
S01,En Uraba operan unas 25 sitios de acopio con volumen suficiente para pagar el producto,25,"INFERENCIA: 2.440 productores de Uniban divididos por ~150 productores por acopio da ~16 acopios; se extrapola al resto del sector",Inferencia explicita,El SAM se reduce a la mitad o menos y el negocio deja de ser viable,Recorrido de campo por Chigorodo Carepa y Necocli contando acopios activos,NO VERIFICADO
S02,Existen unas 6 comercializadoras exportadoras de banano y platano en Uraba con capacidad de compra,6,"Uniban Banacol Banafrut Tropical y pares citados en prensa economica",Inferencia sobre fuente secundaria,El universo de compradores grandes se reduce,Consulta al registro mercantil de la CCU por codigo CIIU de exportacion de frutas,NO VERIFICADO
S03,La recepcion de fruta en acopio se registra hoy en papel o Excel sin control de versiones,Verdadero,Ninguna. Es la hipotesis central del estudio,HIPOTESIS CRITICA,La oportunidad principal desaparece por completo,Visita a 5 acopios en dia de recepcion y fotografia del formato en uso,NO VERIFICADO
S04,El comprador tolera un precio entre COP 690.000 y 2.900.000 mensuales,Verdadero,Anclajes de precio de SG-SST software contable y contratos publicos en Uraba,HIPOTESIS,El modelo de ingresos debe rehacerse por completo,Tecnica de rango en la entrevista de descubrimiento,NO VERIFICADO
S05,Existe un cargo con presupuesto propio que puede aprobar un piloto sin junta directiva,Verdadero,Practica comun en empresas medianas,HIPOTESIS,El ciclo de venta se alarga a mas de 12 meses y el equipo se queda sin caja,Preguntar quien firmo la ultima compra de software,NO VERIFICADO
S06,El ticket medio anual ponderado por cliente es de COP 9.000.000,9000000,Promedio entre los dos planes propuestos ponderado por la mezcla esperada,Calculo derivado de S04,El TAM y el SAM cambian proporcionalmente,Se resuelve al validar S04,DERIVADO DE UN SUPUESTO
S07,El margen bruto en el escenario base es del 76 por ciento,76,"Supuesto de industria SaaS ajustado a la baja por soporte presencial en campo",Supuesto de industria,La rentabilidad cae y el punto de equilibrio se aleja,Medicion real tras los primeros seis meses de operacion,NO VERIFICADO
S08,El costo de adquisicion por cliente en el escenario base es de COP 2.400.000,2400000,"Estimacion de desplazamientos y horas comerciales en el triangulo Apartado-Chigorodo-Turbo",Supuesto,La relacion ingreso sobre CAC baja de 3 y el modelo comercial no se sostiene,Registro real de costos durante los 30 dias de validacion,NO VERIFICADO
S09,El MVP puede construirse en 8 semanas por el equipo actual,Verdadero,"Perfil declarado del equipo: .NET C# Python JavaScript TypeScript web escritorio APIs bases de datos Power Platform automatizacion IA",Supuesto sobre capacidad propia,El costo del MVP crece y la ventana de oportunidad se cierra,Estimacion detallada tras las sesiones de prototipo de la semana 3,PARCIALMENTE VERIFICADO
S10,La conectividad movil en los acopios permite al menos sincronizacion diferida diaria,Verdadero,Supuesto sobre cobertura rural en Uraba,HIPOTESIS TECNICA,"La arquitectura debe cambiar a sincronizacion fisica por USB o punto de acceso, encareciendo el soporte",Medicion de senal en los 5 acopios visitados,NO VERIFICADO
S11,Uniban y las demas comercializadoras NO tienen un desarrollo propio que ya resuelva esto,Verdadero,Ninguna. No se encontro evidencia en ningun sentido,HIPOTESIS CRITICA,La oportunidad desaparece en el segmento grande y queda solo el de asociaciones,Preguntar directamente en la primera entrevista,NO VERIFICADO
S12,La base de clientes del escenario se completa a mitad del periodo de 24 meses,Factor 1.5,Supuesto conservador de curva de adopcion,Supuesto de modelacion,El ingreso acumulado varia entre 1 y 2 anos de recurrente,Seguimiento mensual de altas,NO VERIFICADO
S13,Las cifras empresariales de la CCU aplican a los diez municipios de su jurisdiccion y no a un municipio en particular,Verdadero,Declarado explicitamente en el Estudio Economico 2024 de la CCU,VERIFICADO,No aplica,Ya verificado en la fuente,VERIFICADO
S14,El banano NO esta cubierto por el EUDR,Verdadero,"El EUDR cubre ganado cacao cafe aceite de palma caucho soya y madera",VERIFICADO,"Si fuera falso habria una obligacion regulatoria enorme con fecha limite, lo que cambiaria toda la recomendacion",Ya verificado en la fuente oficial de la Comision Europea,VERIFICADO
S15,El estudio economico 2025 de la CCU no estaba publicado en el portal a la fecha de consulta,Verdadero,Consulta directa al portal el 24 de julio de 2026,VERIFICADO,Podrian existir cifras mas recientes que las usadas,Solicitar el documento directamente a la CCU,VERIFICADO
