id_dato,indicador,valor_numerico,unidad,ano,cobertura_geografica,municipio,sector,nivel_evidencia,id_fuente,nota
D01,Empresas registradas (stock),12134,empresas,2024,Region - 10 municipios jurisdiccion CCU,Todos,Multisectorial,A,F01,Excluye establecimientos sucursales agencias y ESALES
D02,Empresas registradas (stock),11671,empresas,2023,Region - 10 municipios,Todos,Multisectorial,A,F01,Base para calcular variacion
D03,Variacion anual del stock empresarial,=(C2-C3)/C3*100,porcentaje,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,Formula viva sobre D01 y D02; el estudio reporta 3.97
D04,Microempresas,11651,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,
D05,Participacion de microempresas,=C5/C2*100,porcentaje,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,Formula viva; el estudio reporta 96.02
D06,Pequenas empresas,390,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,
D07,Medianas empresas,77,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,
D08,Grandes empresas,16,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,
D09,Empresas medianas y grandes (universo con capacidad de pago),=C8+C9,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,Universo real de compradores solventes segun el registro mercantil
D10,Empresas con 1 a 4 empleados,11084,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,91.34 por ciento del total
D11,Empresas con 5 a 9 empleados,525,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,
D12,Empresas con 10 a 19 empleados,240,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,
D13,Empresas con 20 a 49 empleados,117,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,
D14,Empresas con 50 a 249 empleados,79,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,
D15,Empresas con 250 o mas empleados,23,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,
D16,Empresas creadas,2592,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,Aumento de 12.15 por ciento frente a 2023
D17,Empresas que salieron del tejido,3149,empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,Disminucion de 5.86 por ciento frente a 2023
D18,Saldo neto de empresas,"=C17-C18",empresas,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,Formula viva; saldo negativo pese al crecimiento del stock por depuracion y renovaciones
D19,Tasa de supervivencia a 5 anos (cohorte 2019),29.1,porcentaje,2024,Region - 10 municipios,Todos,Multisectorial,A,F01,Menos de un tercio de las empresas llega al quinto ano
D20,Tasa de supervivencia a 5 anos en turismo (cohorte 2019),22.5,porcentaje,2024,Region - 10 municipios,Todos,Turismo,A,F01,Peor que el promedio regional
D21,Empresas de comercio,6022,empresas,2024,Region - 10 municipios,Todos,Comercio,A,F01,
D22,Empresas de alojamiento y servicios de comida,1887,empresas,2024,Region - 10 municipios,Todos,Turismo,A,F01,15.55 por ciento del total
D23,Empresas de industria manufacturera,877,empresas,2024,Region - 10 municipios,Todos,Industria,A,F01,
