id,competidor,origen,tipo,funciones_principales,precio_publico,publico_objetivo,fortalezas,debilidades,integraciones,presencia_verificada_en_Colombia,presencia_verificada_en_Uraba,brecha_que_quedaria,oportunidad_afectada,id_fuente,confiabilidad
K01,Agrosoft LATAM (XASS ERP Cloud),Ecuador (Guayaquil),Software especializado en banano,"Produccion y pesaje por lote, contabilidad y costos, SCM1 exportacion con tarja asignacion de precios y liquidacion de fruta, nomina agricola por cuadrilla lote y actividad, BI, trazabilidad, apps Merma Labores y Verifruta",No publica precios,Grupos bananeros y exportadoras grandes de LATAM,"30 anos, +40.000 ha gestionadas, 7 paises, hardware de pesaje propio (XR-5000 y XR-25), ecosistema completo","La nomina calcula IESS (Ecuador) y no PILA ni nomina electronica DIAN; orientado a finca y exportadora grande; sin evidencia de captura offline en acopios rurales con miles de microproductores",Ecosistema propio cerrado,No verificada (clientes listados: Noboa Palmar AGZULASA Tropical Fruit Sumifru Sanlucar Frutagrande Exfrucan Pinas Ricas Tuchok),No verificada,"Captura offline en el punto de acopio, comprobante inmediato al pequeno productor y cumplimiento laboral y tributario colombiano","O1, O2, O3, O11",F13,Alta - sitio oficial del proveedor
K02,SM Solucion,No especificado,Software agricola,"Nomina, insumos y produccion para banano platano y pina",No publica precios,Fincas agricolas,Cobertura de los tres modulos basicos,"Sitio en Google Sites sin fecha, sin clientes referenciados, sin precios, sin evidencia de soporte",No documentadas,No verificada,No verificada,Practicamente todo: no es un competidor verificable,"O1, O2",F14,Baja - no verificable
K03,CTAIMA,Espana con operacion en Colombia,Gestion documental de contratistas,"Validacion documental de contratistas y proveedores, control de acceso, coordinacion de actividades empresariales",No publica precios,Grandes empresas con muchos contratistas,Red declarada de mas de 100.000 contratistas conectados con mas de mil clientes; efecto de red muy fuerte,Precio de nivel corporativo; implementacion pesada,API y control de accesos,Si,No verificada,Segmento de empresa mediana regional que no puede pagar el nivel corporativo,O6,F16,Media-alta - autodeclarado
K04,Verifty,Colombia,Software SG-SST,"Verificacion documental de contratistas con IA, gestion de capacitaciones, control de EPP, cumplimiento del Decreto 1072 y la Resolucion 0312",No publica precios,Empresas colombianas con SG-SST,Producto local alineado a la norma colombiana,No publica precios ni casos,No documentadas,Si,No verificada,Escasa: cubre bien el caso colombiano,"O5, O6",F15,Media-alta
K05,GCG Control,Colombia,Gestion de contratistas,Control de contratistas y proveedores con IA aplicada a la documentacion,No publica precios,Empresas con contratistas,Enfoque colombiano,Poca informacion publica,No documentadas,Si,No verificada,Escasa,O6,F35,Baja - referencia de comparador comercial
K06,Twind,Global,Gestion de contratistas y proveedores,Validacion documental centralizada y control de acceso,No publica precios,Empresas globales,Alcance internacional,Sin foco colombiano evidente,No documentadas,No verificada,No verificada,Escasa,O6,F35,Baja
K07,Plataforma MyRA de Rainforest Alliance,Internacional (certificador),Plataforma de certificacion,Registros y gestion del certificado ante Rainforest Alliance,Incluida para los titulares de certificado,Titulares de certificado RA,"Gratuita para el titular, obligatoria de hecho","Cubre el tramite ante el certificador, no la generacion diaria de evidencia en finca",Ninguna con sistemas del cliente,Si,Si (toda finca certificada RA),Generacion y consolidacion diaria de la evidencia en campo antes de la auditoria,O3,F24,Alta - fuente oficial del certificador
K08,Consultores de certificacion (Kiwa Ceres y otros),Colombia e internacional,Servicio profesional (sustituto humano),"Acompanamiento a la certificacion RA GG GRASP y Fairtrade, preauditoria",No publica tarifas,Fincas y plantas,Relacion establecida y conocimiento normativo,Servicio recurrente costoso; no deja capacidad instalada,No aplica,Si,Probable,Herramienta que reduzca las horas de consultoria y quede en la empresa,O3,F23,Alta
K09,Consultoria SG-SST mensual (mercado colombiano),Colombia,Servicio profesional (sustituto humano),Diseno documental implementacion y mantenimiento del SG-SST,"Asesoria mensual desde COP 349.000; diseno microempresa desde COP 690.000; implementacion pyme COP 1.5 a 3.5 millones; mantenimiento COP 250.000 a 680.000/mes",Mipymes,Relacion personal y responsabilidad asumida por el consultor,Depende del tiempo del consultor y no escala,No aplica,Si,Probable,Herramienta multiempresa que multiplique la capacidad del consultor,O5,F17,Media - precios de un solo proveedor
K10,Excel y WhatsApp,No aplica,Sustituto improvisado,Registro planificacion y comunicacion,Costo marginal cero,Todos,"Gratis, conocido por todos, flexible, sin curva de aprendizaje","Sin control de versiones, sin trazabilidad, sin trabajo simultaneo, sin auditoria",Ninguna,Si,Si,"La brecha solo existe si el volumen y el requisito de trazabilidad superan lo que Excel puede sostener. Este es el competidor mas peligroso: es el que gana casi siempre",Todas,F03,Alta - inferencia sobre evidencia local de baja formalizacion
K11,Integral V6 SAS,Colombia,Proveedor de software con contrato vigente en Uraba,Software SINAP V6 para CORPOURABA (soporte actualizacion y mantenimiento),COP 44.629.200 por el contrato 2025,Entidades publicas,Contrato vigente en la region,Nicho de sector publico ambiental,No documentadas,Si (Apartado),Si,No compite en agroindustria,Contexto de gasto,F19,Alta - SECOP II
K12,Consultores Tecnologicos SAS,Colombia,Proveedor de software con contrato vigente en Uraba,"Software INTEGRA, facturacion electronica cloud y e-GOPETT-ONLINE para la Terminal de Transporte de Apartado",COP 33.476.280 por el contrato 2025,Terminales de transporte y entidades,Contrato vigente en la region; conoce el mercado local,Nicho de terminales de transporte,Facturacion electronica DIAN,Si (Apartado),Si,No compite en agroindustria,Contexto de gasto,F19,Alta - SECOP II
K13,Desarrollo propio del cliente,No aplica,Sustituto interno,Sistemas hechos a la medida por el area de TI de la empresa,Costo interno,Grupos grandes (Uniban y pares),"Ajustado exactamente al proceso, sin costo de licencia percibido","Deuda tecnica, dependencia de una persona, sin roadmap",Total con sus sistemas,Si,Probable,"Ninguna si ya existe. ESTA ES LA HIPOTESIS QUE MAS PUEDE MATAR LA OPORTUNIDAD 1 y debe verificarse en la primera entrevista",O1 O2,Inferencia,Media - inferencia razonada no verificada
