id,referencia_de_precio,proveedor,producto_o_servicio,precio_COP,unidad,ano,ambito,tipo,id_fuente,uso_en_este_estudio,confiabilidad
PR01,Asesoria SG-SST mensual (piso de mercado),Mentora Colombia,Asesoria y acompanamiento SG-SST,349000,COP por mes,2026,Nacional,Precio publicado por proveedor,F17,Anclaje inferior para servicios de cumplimiento recurrente en pyme,Media
PR02,Diseno documental SG-SST para microempresa,Mentora Colombia,Servicio unico,690000,COP unico,2026,Nacional,Precio publicado por proveedor,F17,Anclaje del plan Acopio (mismo orden de magnitud mensual),Media
PR03,Implementacion SG-SST en pyme (rango bajo),Mentora Colombia,Servicio unico,1500000,COP unico,2026,Nacional,Precio publicado por proveedor,F17,Anclaje inferior de implementacion,Media
PR04,Implementacion SG-SST en pyme (rango alto),Mentora Colombia,Servicio unico,3500000,COP unico,2026,Nacional,Precio publicado por proveedor,F17,Anclaje superior de implementacion,Media
PR05,Mantenimiento mensual SG-SST (rango bajo),Mentora Colombia,Servicio recurrente,250000,COP por mes,2026,Nacional,Precio publicado por proveedor,F17,Piso de disposicion a pagar recurrente en pyme colombiana,Media
PR06,Mantenimiento mensual SG-SST (rango alto),Mentora Colombia,Servicio recurrente,680000,COP por mes,2026,Nacional,Precio publicado por proveedor,F17,Techo del rango recurrente para pyme,Media
PR07,Software contable plan Pyme,Alegra Colombia,SaaS administrativo generico,149900,COP por mes,2026,Nacional,Precio publicado por proveedor,F18,Piso absoluto de SaaS empresarial en Colombia,Alta
PR08,Contrato publico de software SINAP V6,Integral V6 SAS para CORPOURABA,Actualizacion soporte y mantenimiento,44629200,COP por contrato,2025,Apartado,Contrato publico ejecutado,F19,Techo observado de gasto anual en software por entidad publica en Uraba,Alta
PR09,Contrato publico de software INTEGRA mas facturacion electronica,Consultores Tecnologicos SAS para Terminal de Transporte de Apartado,Actualizacion soporte y facturacion electronica cloud,33476280,COP por contrato,2025,Apartado,Contrato publico ejecutado,F19,Segundo punto de referencia de gasto anual en software en Uraba,Alta
PR10,Contrato publico de software SINAP V6 (vigencia anterior),Integral V6 SAS para CORPOURABA,Actualizacion soporte y mantenimiento,13600000,COP por contrato,2022,Apartado,Contrato publico (cancelado),F19,Muestra el crecimiento del gasto: de 13,6 a 44,6 millones entre 2022 y 2025,Alta
PR11,Agrosoft LATAM XASS,Agrosoft LATAM,ERP especializado en banano,,No publica precio,2026,LATAM,Sin precio publico,F13,No se pudo obtener. Se registra la ausencia y no se estima,No disponible
PR12,CTAIMA Verifty GCG Control Twind,Varios,Gestion documental de contratistas,,No publican precio,2026,Colombia e internacional,Sin precio publico,F15 F16,No se pudo obtener. Se registra la ausencia y no se estima,No disponible
PH01,HIPOTESIS plan Acopio,Producto propuesto,Suscripcion por sitio de acopio,690000,COP por mes,2026,Uraba,HIPOTESIS NO VALIDADA,Derivado de PR02 y PR06,Precio a probar en las entrevistas de la validacion de 30 dias,Hipotesis
PH02,HIPOTESIS plan Comercializadora,Producto propuesto,Suscripcion hasta 10 sitios,2900000,COP por mes,2026,Uraba,HIPOTESIS NO VALIDADA,"Derivado de PR08 y PR09 (34,8 M al ano queda por debajo del contrato publico tipico)",Precio a probar en las entrevistas,Hipotesis
PH03,HIPOTESIS implementacion plan Acopio,Producto propuesto,Servicio unico,2500000,COP unico,2026,Uraba,HIPOTESIS NO VALIDADA,Derivado de PR03,Precio a probar,Hipotesis
PH04,HIPOTESIS implementacion plan Comercializadora,Producto propuesto,Servicio unico,8000000,COP unico,2026,Uraba,HIPOTESIS NO VALIDADA,Derivado de PR04 escalado por numero de sitios,Precio a probar,Hipotesis
PH05,HIPOTESIS producto puente (tablero gerencial),Producto propuesto,Implementacion unica,4500000,COP unico,2026,Uraba,HIPOTESIS NO VALIDADA,Derivado de PR03 y PR04,Servicio de entrada para abrir relaciones,Hipotesis
PH06,HIPOTESIS producto puente (mantenimiento),Producto propuesto,Servicio recurrente,450000,COP por mes,2026,Uraba,HIPOTESIS NO VALIDADA,Derivado de PR05 y PR06,Servicio de entrada,Hipotesis
UMBRAL,Precio minimo viable del producto principal,Producto propuesto,Suscripcion,400000,COP por mes,2026,Uraba,CRITERIO DE ABANDONO,Calculo interno,"Por debajo de este precio el negocio no cubre el soporte presencial en campo dado el costo de desplazamiento en Uraba. Si el mercado no tolera al menos este precio se activa el NO-GO",Criterio
