id,hipotesis,como_se_falsa,metodo,muestra_minima,semana,responsable,criterio_de_exito,criterio_de_fracaso,resultado,fecha
H1,La recepcion de fruta en el acopio se registra hoy en papel o en Excel sin control de versiones,Una fotografia del proceso real basta para confirmarlo o negarlo,Observacion presencial en dia de recepcion,5 acopios,2,Socio tecnico mas socio comercial,3 o mas de 5 acopios usan papel o Excel sin control de versiones,3 o mas usan un software especifico,,
H2,La transcripcion y la correccion de errores de liquidacion consumen al menos 6 horas-persona por semana por comercializadora,Preguntar cuanto tarda el cierre de la liquidacion semanal y cuantas personas participan,Entrevista de descubrimiento con pregunta de tiempo y no de opinion,12 entrevistas,2,Los 3 socios,8 o mas de 12 describen espontaneamente reprocesos disputas o demoras,Menos de 5 lo mencionan,,
H3,Existe un cargo con presupuesto propio que puede aprobar un piloto sin junta directiva,Preguntar quien firmo la ultima compra de software y por que monto,Entrevista,12 entrevistas,2,Socio comercial,Se identifica el cargo y un rango de monto que puede aprobar,Toda compra pasa por junta o por casa matriz,,
H4,El rango de precio de COP 690.000 a 2.900.000 mensuales no provoca rechazo inmediato,Presentar tres rangos y observar la reaccion sin pedir compromiso,Tecnica de rango al cierre de la entrevista,10 entrevistas,2 y 4,Socio comercial,El rango medio no genera rechazo en al menos la mitad de los casos,El precio maximo tolerado queda por debajo de COP 400.000 mensuales,,
H5,Ningun entrevistado menciona espontaneamente un software que ya haga esto,Escuchar sin sugerir nombres,Entrevista abierta,12 entrevistas,2,Los 3 socios,Ninguno o a lo sumo uno menciona un producto especifico,3 o mas nombran el mismo producto,,
H6,La conectividad movil permite al menos sincronizacion diferida diaria en el acopio,Medir la senal en el sitio,Medicion tecnica en terreno,5 acopios,2,Socio tecnico,Hay al menos una ventana diaria de cobertura util,No hay ninguna ventana de cobertura en 2 o mas acopios,,
H7,Uniban y las demas comercializadoras no tienen un desarrollo propio que ya resuelva esto,Preguntarlo directamente en la primera conversacion,Entrevista,3 comercializadoras,1 y 2,Socio comercial,Al menos 2 confirman que no tienen sistema propio para esto,2 o mas confirman que si lo tienen,,
H8,El recibidor puede registrar una entrega en menos de 25 segundos con el prototipo,Cronometrar,Prueba de usabilidad con usuarios reales,8 sesiones,3,Socio tecnico,Tiempo medio por registro menor a 25 segundos,Tiempo medio mayor a 45 segundos,,
H9,Al menos dos organizaciones firman carta de intencion de piloto,Pedir la firma,Prueba de humo con carta de intencion sin obligacion de pago,Todo el embudo,4,Socio comercial,2 o mas cartas firmadas por alguien con autoridad presupuestal,Cero cartas al dia 30,,
H10,Existen al menos 20 sitios de acopio activos en el eje Chigorodo-Carepa-Necocli,Recorrido y conteo,Trabajo de campo mas consulta al registro mercantil por CIIU,No aplica,1 y 2,Socio comercial,Se identifican 20 o mas,Se identifican menos de 10,,
NOTA,"Regla de oro del kit: no se pregunta '¿compraria esta aplicacion?'. Se pregunta por lo que ya paso, lo que ya costo y lo que ya se pago. Una respuesta afirmativa a una pregunta hipotetica no cuenta como evidencia y no se registra en esta hoja.",,,,,,,,,
