id,oportunidad,C1_Evidencia_local_max25,C2_Severidad_max15,C3_Frecuencia_max10,C4_Comprador_max10,C5_Gasto_o_solucion_actual_max10,C6_Acceso_clientes_max8,C7_Brecha_competidores_max8,C8_Viabilidad_MVP_max6,C9_Ingreso_recurrente_max4,C10_Escalabilidad_max2,C11_Riesgo_bajo_max2,TOTAL_100,Nivel_evidencia_dominante,Confianza,Tope_normativo_aplicado,Ajuste_por_falsacion,Justificacion_resumida
O1,Recepcion y liquidacion de fruta de pequenos productores para comercializadoras exportadoras,19,11,9,8,5,7,5,5,4,2,1,=SUM(C2:M2),A sobre la cadena / C sobre el proceso,Media-baja,Tope 85: sin evidencia verificada de gasto ni de solucion actual,-6,"Flujo documentado por el presidente de Uniban (2.440 productores, ~4 M cajas/ano). Comprador con presupuesto. Penalizada porque Agrosoft SCM1 ya ofrece liquidacion de fruta y el proceso actual no fue verificado en campo."
O2,Liquidacion semanal de nomina de campo por labores bajo convencion colectiva Sintrainagro,17,12,10,8,7,6,3,3,4,1,0,=SUM(C3:M3),A,Media,Tope 85,-9,"Proceso documentado: 85 grupos, 275 fincas, 22.000 trabajadores, 10 labores comunes mas 28 negociables. Penalizacion fuerte: sustituir la nomina es sustituir un sistema critico y el MVP no cabe en 8 semanas (PILA y nomina electronica DIAN)."
O3,Expediente digital de auditoria para GlobalGAP GRASP Rainforest Alliance y Fairtrade,16,12,6,7,6,6,5,5,4,2,1,=SUM(C4:M4),B,Media,Tope 85,-5,"Los minoristas europeos exigen doble certificacion RA mas GG. Penalizada porque Rainforest Alliance provee la plataforma MyRA a los titulares de certificado y las consultoras ya venden el acompanamiento documental."
O4,Bitacora digital de bioseguridad fitosanitaria Foc R4T,15,13,8,6,4,6,6,5,3,2,1,=SUM(C5:M5),A normativa / B operativa,Media-baja,Tope 80: comprador poco concreto,-7,"El estatus de area libre (Resolucion ICA 095026 de 2021) obliga a medidas de mantenimiento y el ICA reforzo la vigilancia en 2026. Penalizada porque probablemente se financie de forma centralizada por ICA o Augura sin autoridad de compra por finca."
O5,Consola multiempresa de SG-SST para consultores con carteras de 10 a 30 mipymes,13,9,8,7,9,6,3,5,4,2,1,=SUM(C6:M6),B,Media,Tope 85,-10,"Mejor evidencia de gasto del conjunto: precios publicos verificados de asesoria y mantenimiento SG-SST. Penalizacion maxima por saturacion: CTAIMA, Verifty, GCG Control, Twind y decenas de productos comparables."
O6,Habilitacion documental de contratistas para ingreso a fincas empacadoras y zona portuaria,13,10,8,7,8,5,2,5,4,2,1,=SUM(C7:M7),C para Uraba,Baja,Tope 75: sin evidencia local de demanda,-8,"El problema es real a nivel nacional pero no esta documentado para Uraba. Un solo competidor declara red instalada de mas de 100.000 contratistas."
O7,Coordinacion de transporte de fruta finca hacia Puerto Antioquia,14,12,9,6,4,4,5,4,4,1,0,=SUM(C8:M8),A sobre el cambio / C sobre el proceso,Baja,Tope 80,-4,"Puerto Antioquia opera desde el 5 de febrero de 2026 y sustituye el embarque por barcazas. Penalizada por comprador difuso, dependencia de una gran empresa y alta probabilidad de que el puerto implante su propio sistema comunitario."
O8,Gestion de transporte de personal a fincas rutas cupos y novedades diarias,12,8,10,6,5,5,5,5,4,2,1,=SUM(C9:M9),C,Baja,Tope 75,0,"Frecuencia diaria y logica clara pero sin ninguna fuente local que documente el problema ni el gasto asociado."
O9,Gestion de mantenimiento GMAO en empacadoras cable vias y flota agricola,11,10,9,6,5,5,5,5,4,2,1,=SUM(C10:M10),C,Baja,Tope 75,0,"Existe base instalada de activos pero no hay evidencia local de dolor ni de gasto. Categoria GMAO muy competida internacionalmente."
O10,Tablero de indicadores multi-finca sobre los Excel existentes,12,8,7,7,5,6,5,6,3,2,2,=SUM(C11:M11),B,Media-baja,Tope 75,0,"Encaja con la experiencia del equipo en Power Platform y no reemplaza ningun sistema. Valor bajo por si solo: sirve como servicio de entrada para abrir la relacion, no como producto principal."
